Timestamp,GPU_Util(%),Memory_Used(MiB),Memory_Total(MiB),Power(W),Temp(C)
1763736779.573550209,0, 13, 6144, 15.82, 51
1763736780.104670033,0, 13, 6144, 15.82, 51
1763736780.633509860,0, 13, 6144, 15.79, 51
1763736781.165680593,0, 13, 6144, 15.79, 51
1763736781.695550045,0, 13, 6144, 15.76, 52
1763736782.225542389,0, 13, 6144, 15.76, 52
1763736782.749468996,0, 13, 6144, 15.77, 52
1763736783.273952184,0, 13, 6144, 15.77, 52
1763736783.798350309,0, 13, 6144, 15.64, 52
1763736784.322092602,0, 13, 6144, 15.65, 52
1763736784.846736001,0, 13, 6144, 15.65, 52
1763736785.368950607,0, 13, 6144, 15.67, 52
1763736785.891859026,0, 13, 6144, 15.67, 52
1763736786.414935145,0, 15, 6144, 15.68, 52
1763736786.938502772,0, 15, 6144, 15.68, 53
1763736787.463027765,0, 15, 6144, 15.70, 52
1763736787.986706449,0, 578, 6144, 17.34, 53
1763736788.509642020,0, 852, 6144, 19.87, 54
1763736789.030961201,0, 4634, 6144, 27.08, 56
1763736789.550296324,0, 4634, 6144, 31.08, 55
1763736790.069686730,0, 13, 6144, 30.12, 55
1763736790.592280862,0, 13, 6144, 27.32, 56
1763736791.120882890,0, 13, 6144, 27.33, 56
1763736791.648156746,0, 13, 6144, 27.32, 55
1763736792.176671346,0, 13, 6144, 27.32, 55
1763736792.699463021,0, 13, 6144, 25.93, 55
1763736793.222881588,0, 13, 6144, 25.93, 55
1763736793.749753261,0, 13, 6144, 22.58, 54
1763736794.277068841,0, 13, 6144, 18.65, 54
1763736794.814577006,0, 13, 6144, 18.65, 54
1763736795.347977877,0, 13, 6144, 17.52, 54
1763736795.880239570,0, 13, 6144, 17.52, 54
1763736796.405513835,0, 13, 6144, 16.51, 54
1763736796.946432478,0, 13, 6144, 16.51, 54
1763736797.475948398,0, 13, 6144, 15.98, 54
1763736798.012161319,0, 13, 6144, 15.98, 54
1763736798.541198873,0, 13, 6144, 15.98, 54
1763736799.071336317,0, 13, 6144, 15.98, 54
1763736799.603853909,0, 13, 6144, 15.98, 54
1763736800.132229547,0, 13, 6144, 15.98, 54
1763736800.660066078,0, 13, 6144, 15.98, 54
1763736801.187027557,0, 13, 6144, 15.98, 54
1763736801.725619254,0, 13, 6144, 15.94, 54
1763736802.257748578,0, 13, 6144, 15.94, 54
1763736802.794950600,0, 13, 6144, 15.92, 54
1763736803.329584205,0, 13, 6144, 15.94, 54
1763736803.857342434,0, 13, 6144, 15.94, 54
1763736804.384356221,0, 13, 6144, 15.94, 54
1763736804.908922793,0, 13, 6144, 15.94, 54
1763736805.434224185,0, 13, 6144, 15.97, 54
1763736805.965310049,0, 13, 6144, 15.97, 54
1763736806.493793940,0, 13, 6144, 15.98, 54
1763736807.027323250,0, 13, 6144, 15.98, 54
1763736807.561033540,0, 13, 6144, 15.97, 53
1763736808.091657931,0, 13, 6144, 15.97, 53
1763736808.617779097,0, 13, 6144, 15.96, 53
1763736809.152135093,0, 13, 6144, 15.96, 53
1763736809.680851477,0, 13, 6144, 15.95, 53
1763736810.215469150,0, 13, 6144, 15.95, 53
1763736810.746791301,0, 13, 6144, 15.94, 53
1763736811.281644079,0, 13, 6144, 15.94, 53
1763736811.817006867,0, 13, 6144, 15.94, 53
1763736812.351158375,0, 13, 6144, 15.93, 53
1763736812.880994759,0, 13, 6144, 15.93, 53
1763736813.410858852,0, 13, 6144, 15.93, 53
1763736813.936977447,0, 13, 6144, 15.93, 53
1763736814.467269559,0, 13, 6144, 15.93, 53
1763736814.991010052,0, 13, 6144, 15.93, 53
1763736815.515059378,0, 13, 6144, 15.95, 53
1763736816.046594338,0, 13, 6144, 15.95, 53
1763736816.575398725,0, 13, 6144, 15.96, 53
1763736817.100435579,0, 13, 6144, 15.96, 53
1763736817.627807628,0, 13, 6144, 15.95, 53
1763736818.155536026,0, 13, 6144, 15.95, 53
1763736818.683343735,0, 13, 6144, 15.96, 53
1763736819.217509741,0, 13, 6144, 15.96, 53
1763736819.754235767,0, 13, 6144, 15.96, 53
1763736820.287473741,0, 13, 6144, 15.97, 53
1763736820.821523161,0, 13, 6144, 15.97, 53
1763736821.357896942,0, 13, 6144, 15.96, 53
1763736821.888773003,0, 13, 6144, 15.96, 53
1763736822.414146367,0, 13, 6144, 15.94, 53
1763736822.947433173,0, 13, 6144, 15.94, 53
1763736823.479010888,0, 13, 6144, 15.91, 53
1763736824.011409527,0, 13, 6144, 15.91, 53
1763736824.544703121,0, 13, 6144, 15.91, 53
1763736825.075737428,0, 13, 6144, 15.91, 53
1763736825.603458250,0, 13, 6144, 15.94, 53
1763736826.135061382,0, 13, 6144, 15.94, 53
1763736826.665868839,0, 13, 6144, 15.95, 53
1763736827.201226867,0, 13, 6144, 15.95, 53
1763736827.737255747,0, 13, 6144, 15.96, 52
1763736828.271009905,0, 13, 6144, 15.96, 52
1763736828.803402432,0, 13, 6144, 15.97, 52
1763736829.330359056,0, 13, 6144, 15.96, 53
1763736829.864327095,0, 13, 6144, 15.96, 53
1763736830.398976691,0, 13, 6144, 15.91, 52
1763736830.930287402,0, 13, 6144, 15.91, 52
1763736831.464736403,0, 13, 6144, 15.88, 52
1763736832.001844274,0, 13, 6144, 15.88, 52
1763736832.534734283,0, 13, 6144, 15.89, 52
1763736833.067289168,0, 13, 6144, 15.89, 52
1763736833.597067354,0, 13, 6144, 15.91, 52
1763736834.129232537,0, 13, 6144, 15.91, 52
1763736834.659161527,0, 13, 6144, 15.94, 52
1763736835.189941692,0, 13, 6144, 15.94, 52
1763736835.723016795,0, 13, 6144, 15.92, 52
1763736836.247859225,0, 13, 6144, 15.92, 52
1763736836.775423431,0, 13, 6144, 15.91, 52
1763736837.310912244,0, 13, 6144, 15.89, 52
1763736837.840083986,0, 13, 6144, 15.89, 52
1763736838.371722631,0, 13, 6144, 15.91, 52
1763736838.902867089,0, 13, 6144, 15.91, 52
1763736839.438335931,0, 13, 6144, 15.96, 52
1763736839.971279920,0, 13, 6144, 15.96, 52
1763736840.503515706,0, 13, 6144, 15.97, 52
1763736841.033628184,0, 13, 6144, 15.97, 52
1763736841.565513078,0, 13, 6144, 15.94, 52
1763736842.094184555,0, 13, 6144, 15.94, 52
1763736842.623582789,0, 13, 6144, 15.92, 52
